4	3	9
15	10	18
0	17	19
11	2	9
3	20	16
19	3	4
12	5	5
12	14	1
17	15	18
20	9	8
0	13	1
6	1	9
12	13	1
13	16	9
13	16	3
4	9	15
20	5	5
9	2	7
14	4	5
10	17	14
12	2	15
10	18	2
3	4	12
4	15	18
0	3	8
9	12	7
11	15	15
10	5	7
13	11	9
4	11	0
4	13	13
2	14	17
7	18	10
11	7	20
1	10	9
0	16	1
13	1	2
16	11	14
15	0	5
16	10	13
16	20	8
13	14	13
9	8	18
18	4	4
20	4	12
16	10	7
5	8	4
5	3	10
5	2	11
20	13	14
18	14	1
13	7	18
3	13	7
13	15	6
0	19	15
10	16	6
5	15	5
19	0	6
1	4	4
0	15	1
7	17	9
20	18	8
20	0	9
6	13	14
16	3	20
14	17	7
0	18	16
3	7	20
17	16	12
0	9	8
13	9	19
4	18	11
8	13	7
2	13	9
14	4	20
17	17	20
9	20	7
3	12	5
1	9	18
20	16	4
7	1	4
16	0	18
17	6	8
5	10	6
11	14	5
14	2	8
7	12	14
5	0	15
13	7	4
20	15	14
19	7	13
4	18	16
18	1	5
10	3	11
13	17	3
20	6	2
6	19	17
7	5	17
4	14	0
18	16	4
8	8	1
12	6	4
9	20	11
1	4	13
14	11	5
17	4	9
11	4	3
15	13	7
13	17	16
19	4	2
16	6	4
0	3	8
2	15	6
5	4	13
12	13	15
12	17	8
1	2	9
16	12	1
1	16	14
11	13	18
11	5	6
2	9	0
13	1	12
10	6	14
5	6	13
3	11	17
8	18	3
11	8	17
1	12	11
16	1	12
11	20	20
3	4	9
4	16	17
7	16	16
18	9	10
0	8	4
2	12	19
16	14	2
3	2	0
4	19	1
14	14	8
7	7	3
8	8	13
9	8	14
10	19	7
17	0	0
20	2	7
10	20	7
10	6	3
5	13	19
3	19	6
3	8	2
13	19	3
19	13	9
4	7	16
8	10	16
11	15	8
16	8	4
16	16	0
19	15	13
17	13	9
12	8	13
4	12	19
17	1	1
19	4	9
7	20	17
9	18	18
14	0	4
12	7	18
3	0	13
7	15	3
4	18	15
8	8	5
16	17	2
15	1	18
7	0	19
16	20	17
4	11	17
8	5	6
1	7	12
5	17	14
20	16	6
20	17	18
16	0	18
4	5	14
0	3	11
7	6	7
18	18	16
16	16	4
1	6	15
1	17	15
16	5	15
7	10	18
19	14	4
8	20	19
5	15	2
20	16	19
2	9	12
5	0	13
2	13	2
18	8	17
15	9	7
7	4	11
15	19	4
12	5	8
17	15	1
15	11	7
8	1	13
12	11	20
18	16	13
12	11	19
6	18	19
6	3	18
11	14	13
13	10	5
15	11	8
13	14	17
15	1	10
1	18	14
5	15	5
20	12	9
14	14	8
1	1	16
5	10	5
17	0	20
7	0	5
19	13	0
6	20	1
6	16	19
5	1	16
7	1	14
15	9	4
14	12	16
2	6	15
4	17	5
15	16	20
9	12	2
18	11	7
18	6	3
10	7	9
8	19	4
9	17	16
20	20	18
9	5	19
4	20	20
14	14	9
7	11	1
17	19	6
12	7	13
18	15	18
20	15	12
14	6	19
15	8	17
16	15	3
2	18	3
19	14	2
17	6	7
1	19	20
0	14	13
10	2	18
5	3	13
16	1	18
8	5	1
10	2	5
5	15	14
18	6	9
12	0	13
17	9	15
9	16	4
14	10	20
4	5	11
16	5	19
4	13	6
8	17	9
0	18	4
17	12	14
14	12	12
0	14	2
17	12	2
15	12	3
6	19	8
6	0	7
0	6	9
12	12	18
10	3	9
16	20	6
15	14	2
1	7	6
7	14	14
10	15	11
19	1	4
5	19	3
17	1	12
1	1	5
0	0	20
0	5	1
8	13	15
1	2	11
2	12	16
17	6	4
16	18	17
4	14	15
18	2	17
16	12	14
16	16	14
0	19	6
9	13	7
14	16	4
3	14	10
2	12	4
1	2	0
10	18	17
16	8	6
3	7	0
1	11	0
9	1	14
6	1	1
19	0	19
10	5	13
20	8	16
0	13	5
11	4	18
0	3	18
15	0	4
0	6	5
19	9	20
2	8	10
0	8	15
15	9	4
3	19	10
11	11	9
18	9	2
6	17	7
9	1	20
19	6	4
20	7	7
10	14	13
8	1	9
7	4	10
13	4	7
11	19	19
12	10	11
6	6	17
1	2	18
1	2	13
9	13	7
4	13	9
3	6	15
3	8	13
12	5	14
17	2	19
20	9	19
7	19	0
1	2	17
18	19	3
3	19	14
17	15	5
19	6	9
9	6	6
17	16	10
12	2	1
16	6	2
0	17	18
8	3	7
11	17	16
7	11	9
7	3	13
3	2	6
16	13	12
10	11	10
17	6	9
14	13	6
14	4	20
14	3	0
19	9	0
19	20	11
3	11	19
15	17	5
17	8	3
15	2	19
12	11	1
20	1	13
18	18	0
19	13	11
4	1	18
13	2	7
20	7	3
7	9	0
3	2	13
1	11	11
0	7	15
8	18	16
19	14	15
15	8	6
5	20	10
1	9	13
16	16	10
1	16	9
20	9	9
15	9	8
